resource_id,application_needed,how_to_apply,have_ready,diagnosis_note,source_url,verified
RES-988,false,Call or text 988. No application and no paperwork.,Nothing. Just call.,,https://988lifeline.org,2026-08-28
RES-CCB,false,Call or use the contact page on their site. No application published.,Nothing required to call.,,https://www.crisiscenterbham.org,2026-08-28
RES-JBS,false,Intake starts through their contact page. Ask about service area and intake requirements when you call.,Ask when you call. Their site does not publish a checklist.,No diagnosis is needed to call. Ask when you call whether the program you need requires one and who does that assessment.,https://jbsmentalhealth.com,2026-08-28
RES-211,false,Dial 2-1-1 or text your ZIP code to 898-211. No application.,Nothing. The referral line is free.,,https://www.211connectsalabama.org,2026-08-28
RES-FT,false,"Search the locator free, no sign-up. Each treatment program sets its own intake.",Ask each program what to bring. The locator itself needs nothing.,No diagnosis is needed to search or to call a program. Each program sets its own intake so ask whether it requires a referral or an assessment and who performs it.,https://findtreatment.gov,2026-08-28
RES-ADMH,false,"Not an application door. The state authority over public mental health and substance use services, useful for finding and verifying licensed providers.",Nothing. Use it to check providers.,,https://mh.alabama.gov,2026-08-28
RES-1ROOF,false,Coordinated Entry intake starts by contacting One Roof. Their site does not publish an intake checklist.,Ask what intake needs when you reach them.,,https://www.oneroofonline.org,2026-08-28
RES-NAMI,false,Support groups are free. Contact through the site to find a group. No application.,Nothing. Come as you are.,No diagnosis is needed. Family groups are for the family and no paperwork about your person is asked for.,https://namialabama.org,2026-08-28
RES-MCAID,true,Apply online at medicaid.alabama.gov or turn the application in to the right office. Recipient Call Center (800) 362-1504.,Proof of income | Every Medicaid program has its own requirements and all of them have income requirements. Ask which program fits before gathering more.,"A disability decision is required for the disability route and it comes from Social Security, not from the family and not from a doctor's note alone. Alabama Medicaid's own page says some disabled people qualify when they qualify for SSI, and SSI's medical decision runs through Social Security's process (medicaid.alabama.gov E&D page, verified 2026-08-28).",https://medicaid.alabama.gov/content/3.0_Apply/,2026-08-28
RES-LSA,true,"Apply online through their site or call 866-456-4995, Monday through Friday 8:30 to 4:30.",Expect income questions. They serve low-income Alabamians. | Their site does not publish a document checklist. Ask at intake.,,https://legalservicesalabama.org,2026-08-28
RES-SSA,true,"Apply at ssa.gov/apply. SSDI needs a disability or blindness plus enough work history. SSI is for people who are blind or have a disability and find it hard to pay for essentials.",Their site does not publish one document checklist on the pages we verified. Ask what they need when you apply.,"A medical decision is required and the family does not make it. Social Security sends the application to the state Disability Determination Services office, and that office decides about the medical condition. A note from a family doctor alone does not decide it, so have the names of the doctors and clinics who have treated your person ready when asked (ssa.gov/benefits/disability/qualify.html, verified 2026-08-28).",https://www.ssa.gov/apply,2026-08-28
RES-SNAP,true,"Apply online, by mail, fax, or in person in the county where you live. Decision within 30 days, or 7 days expedited with little or no income.",Proof of income | Current proof of rent or mortgage expenses | Proof of child care expenses | Social Security numbers for everyone in the household | Proof of child support paid to someone outside the household,No medical diagnosis is needed to apply.,https://dhr.alabama.gov/food-assistance/food-assistance-division-frequently-asked-questions/,2026-08-28
RES-HUD,true,Apply through your local public housing agency. Find yours through hud.gov. Each agency sets its own paperwork.,Income paperwork such as pay stubs and bank information | Paperwork for other assistance such as SSI or SNAP | Proof of citizenship and Social Security cards | The head of household needs a valid Social Security number,,https://www.hud.gov/helping-americans/housing-choice-vouchers-tenants,2026-08-28
